threat_id;cia
G 0.1;A
G 0.2;I,A
G 0.3;I,A
G 0.4;I,A
G 0.5;A
G 0.6;A
G 0.7;C,I,A
G 0.8;I,A
G 0.9;I,A
G 0.10;A
G 0.11;C,I,A
G 0.12;I,A
G 0.13;C
G 0.14;C
G 0.15;C
G 0.16;C,A
G 0.17;C,A
G 0.18;C,I,A
G 0.19;C
G 0.20;C,I,A
G 0.21;C,I,A
G 0.22;I
G 0.23;C,I
G 0.24;A
G 0.25;A
G 0.26;C,I,A
G 0.27;A
G 0.28;C,I,A
G 0.29;C,I,A
G 0.30;C,I,A
G 0.31;C,I,A
G 0.32;C,I
G 0.33;A
G 0.34;C,I,A
G 0.35;C,I,A
G 0.36;C,I,A
G 0.37;C,I
G 0.38;C
G 0.39;C,I,A
G 0.40;A
G 0.41;A
G 0.42;C,I
G 0.43;C,I
G 0.44;C,I,A
G 0.45;A
G 0.46;I
G 0.47;C,I,A
